chapter,div_nos,div_name,code,descrip,year_add,year_del,mc_only
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A00.0,"""Cholera due to Vibrio cholerae 01, biovar cholerae""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A00.1,"""Cholera due to Vibrio cholerae 01, biovar eltor""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A00.9,"""Cholera, unspecified""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A01.0,Typhoid fever,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A01.1,Paratyphoid fever A,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A01.2,Paratyphoid fever B,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A01.3,Paratyphoid fever C,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A01.4,"""Paratyphoid fever, unspecified""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A02.0,Salmonella enteritis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A02.1,Salmonella septicemia,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A02.2,Localized salmonella infections,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A02.8,Other specified salmonella infections,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A02.9,"""Salmonella infection, unspecified""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A03.0,Shigellosis due to Shigella dysenteriae,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A03.1,Shigellosis due to Shigella flexneri,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A03.2,Shigellosis due to Shigella boydii,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A03.3,Shigellosis due to Shigella sonnei,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A03.8,Other shigellosis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A03.9,"""Shigellosis, unspecified""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A04.0,Enteropathogenic Escherichia coli infection,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A04.1,Enterotoxigenic Escherichia coli infection,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A04.2,Enteroinvasive Escherichia coli infection,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A04.3,Enterohemorrhagic Escherichia coli infection,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A04.4,Other intestinal Escherichia coli infections,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A04.5,Campylobacter enteritis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A04.6,Enteritis due to Yersinia enterocolitica,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A04.7,Enterocolitis due to Clostridium difficile,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A04.8,Other specified bacterial intestinal infections,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A04.9,"""Bacterial intestinal infection, unspecified""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A05.0,Foodborne staphylococcal intoxication,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A05.1,Botulism,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A05.3,Foodborne Vibrio parahemolyticus intoxication,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A05.4,Foodborne Bacillus cereus intoxication,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A05.8,Other specified bacterial foodborne intoxications,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A05.9,"""Bacterial foodborne intoxication, unspecified""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06.0,Acute amebic dysentery,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06.1,Chronic intestinal amebiasis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06.2,Amebic nondysenteric colitis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06.3,Ameboma of intestine,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06.4,Amebic liver abscess,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06.5,Amebic lung abscess,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06.6,Amebic brain abscess,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06.7,Cutaneous amebiasis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06.8,Amebic infection of other sites,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06.9,"""Amebiasis, unspecified""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A07.0,Balantidiasis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A07.1,Giardiasis [lambliasis],1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A07.2,Cryptosporidiosis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A07.3,Isosporiasis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A07.8,Other specified protozoal intestinal diseases,1999,0,0
