chapter,div_no,div_name,code,descrip,nchs113,nchsti,type
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),001,Cholera,001.0,Due to Vibrio cholerae,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),001,Cholera,001.1,Due to Vibrio cholerae el tor,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),001,Cholera,001.9,Unspecified,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),002,Typhoid and paratyphoid fevers,002.0,Typhoid fever,1,Salmonella infections,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),002,Typhoid and paratyphoid fevers,002.1,Paratyphoid fever A,1,Salmonella infections,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),002,Typhoid and paratyphoid fevers,002.2,Paratyphoid fever B,1,Salmonella infections,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),002,Typhoid and paratyphoid fevers,002.3,Paratyphoid fever C,1,Salmonella infections,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),002,Typhoid and paratyphoid fevers,002.9,"Paratyphoid fever, unspecified",1,Salmonella infections,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),003,Other salmonella infections,003.0,Salmonella gastroenteritis,1,Salmonella infections,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),003,Other salmonella infections,003.1,Salmonella septicaemia,1,Salmonella infections,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),003,Other salmonella infections,003.2,Localized salmonella infections,1,Salmonella infections,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),003,Other salmonella infections,003.8,Other,1,Salmonella infections,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),003,Other salmonella infections,003.9,Unspecified,1,Salmonella infections,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),004,Shigellosis,004.0,Shigella dysenteriae,2,Shigellosis and amebiasis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),004,Shigellosis,004.1,Shigella flexneri,2,Shigellosis and amebiasis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),004,Shigellosis,004.2,Shigella boydii,2,Shigellosis and amebiasis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),004,Shigellosis,004.3,Shigella sonnei,2,Shigellosis and amebiasis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),004,Shigellosis,004.8,Other,2,Shigellosis and amebiasis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),004,Shigellosis,004.9,Unspecified,2,Shigellosis and amebiasis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),005,Other food poisoning (bacterial),005.0,Staphylococcal food poisoning,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),005,Other food poisoning (bacterial),005.1,Botulism,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),005,Other food poisoning (bacterial),005.2,Food poisoning due to Clostridium perfringens,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),005,Other food poisoning (bacterial),005.3,Food poisoning due to other Clostridia,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),005,Other food poisoning (bacterial),005.4,Food poisoning due to Vibrio parahaemolyticus,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),005,Other food poisoning (bacterial),005.8,Other bacterial food poisoning,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),005,Other food poisoning (bacterial),005.9,"Food poisoning, unspecified",17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),006,Amoebiasis,006.0,Acute amoebic dysentery without mention of abscess,2,Shigellosis and amebiasis,Acute
